Model,Features,Constraints,UVL2Logic Time (s),Variables,Clauses,fastOrder Time (s),Logic2BDD Time (s),BDD Nodes,Configurations,Info
security-CVE-VarelaVaca2020-2020-11738,261,482,1.9837e-06,261,500,41.7433,40.9091,965,968,
security-CVE-VarelaVaca2020-2012-3963,482,524,1.6373e-06,482,587,0.2607,0.4406,3998,2084,
security-CVE-VarelaVaca2020-2019-11886,106,1,1.5851e-06,106,15,1.7262,1.8398,197,372,
security-CVE-VarelaVaca2020-2013-1722,502,608,2.1551e-06,502,636,0.3102,0.775,2880,2552,
security-CVE-VarelaVaca2020-2018-10233,209,1,1.6391e-06,209,15,19.6036,19.235,403,784,
security-CVE-VarelaVaca2020-2016-5293,449,1351,2.0657e-06,449,1381,0.5199,1.7867,2483,10796,
systems_software-calm16_ceb-Berger2013,1174,2990,2.3618e-06,1174,4164,0.5575,Timeout,,,
security-CVE-VarelaVaca2020-2015-9328,103,1,1.4175e-06,103,15,1.5393,1.9502,191,360,
security-CVE-VarelaVaca2020-2013-1719,480,606,1.9837e-06,480,630,0.2646,0.6697,2035,2480,
systems_software-soletta-Pett2023-2016-04-08_16-08-18,390,1530,1.8124e-06,390,1920,0.0867,17.6231,172746,2.24e40,
security-CVE-VarelaVaca2020-2013-1700,242,581,2.2631e-06,242,601,23.5499,23.8952,934,2940,
systems_software-uClibc-Pett2023-2011-08-26_09-29-52,242,1339,2.1178e-06,242,1581,0.0747,0.134,13113,8.19e27,
security-CVE-VarelaVaca2020-2018-9172,108,1,1.6410e-06,108,16,1.8441,1.8605,202,376,
security-CVE-VarelaVaca2020-2015-9304,135,1,1.5609e-06,135,15,4.0993,4.1379,255,488,
security-CVE-VarelaVaca2020-2015-9295,121,1,1.5963e-06,121,15,2.7983,2.7181,227,432,
security-CVE-VarelaVaca2020-2009-2465,129,86,1.8869e-06,129,102,0.0469,0.0564,394,464,
systems_software-uClibc-Pett2023-2013-02-20_13-45-10,250,1402,1.7751e-06,250,1652,0.0802,0.1424,7346,1.70e29,
security-CVE-VarelaVaca2020-2013-0770,516,576,2.1569e-06,516,628,0.3109,0.5131,3405,2388,
security-CVE-VarelaVaca2020-2013-0753,537,581,2.1365e-06,537,645,0.3064,0.518,4074,2424,
security-CVE-VarelaVaca2020-2017-6814,441,414,1.8012e-06,441,432,0.4968,2.9571,1736,2452,
security-CVE-VarelaVaca2020-2020-12396,476,1253,2.2799e-06,476,1271,296.0035,297.8302,2333,9004,
systems_software-BusyBox-Pett2021-2008-07-28_00-01-16,557,612,1.5628e-06,557,1169,0.053,0.0672,11057,1.06e127,
security-CVE-VarelaVaca2020-2014-1524,592,678,1.7826e-06,592,741,0.4392,0.9099,3426,2832,
security-CVE-VarelaVaca2020-2017-16870,168,1,1.7323e-06,168,15,8.3584,8.4744,321,620,
systems_software-innovator-Knüppel2017,1270,886,2.1867e-06,1270,2134,0.8011,Timeout,,,
security-CVE-VarelaVaca2020-2017-5436,722,1276,2.2911e-06,722,1320,0.8578,3.1427,3627,7584,
systems_software-Fiasco-Oh2020-17_10,235,1178,1.9930e-06,235,1413,0.1391,40.7811,298124,3.07e41,
security-CVE-VarelaVaca2020-2020-6009,134,1,1.8924e-06,134,15,3.9587,4.0304,253,484,
security-CVE-VarelaVaca2020-2014-1560,415,578,2.1122e-06,415,598,0.2513,0.7631,2126,1944,
systems_software-BusyBox-Pett2021-2009-12-11_02-21-10,608,667,1.7975e-06,608,1275,0.06,0.1813,103128,3.94e136,
security-CVE-VarelaVaca2020-2015-2710,491,661,2.2221e-06,491,694,0.3923,1.1791,2886,2208,
security-CVE-VarelaVaca2020-2009-1307,106,85,1.6075e-06,106,99,0.0435,0.0715,295,380,
security-CVE-VarelaVaca2020-2013-5739,120,98,1.9856e-06,120,112,1.9522,2.0176,462,896,
security-CVE-VarelaVaca2020-2019-17013,467,1226,2.1365e-06,467,1244,275.6083,279.3572,2755,8968,
security-CVE-VarelaVaca2020-2011-2980,172,130,1.7565e-06,172,146,0.0672,0.1489,540,632,
security-CVE-VarelaVaca2020-2019-10869,169,153,1.9092e-06,169,169,8.0889,8.1686,399,616,
security-CVE-VarelaVaca2020-2013-0776,528,585,2.0880e-06,528,636,0.3184,0.6336,4131,2480,
security-CVE-VarelaVaca2020-2013-1682,384,514,1.8366e-06,384,538,0.2295,0.5294,2034,1760,
systems_software-BusyBox-Pett2021-2008-09-25_10-48-06,551,571,1.9819e-06,551,1122,0.0507,0.1139,45650,1.22e126,
security-CVE-VarelaVaca2020-2012-3968,482,524,2.8983e-06,482,587,0.2556,0.3687,4002,2084,
security-CVE-VarelaVaca2020-2011-1307,182,325,1.6727e-06,182,341,9.8802,10.1116,426,660,
security-CVE-VarelaVaca2020-2012-3975,429,523,1.8552e-06,429,547,0.2128,0.4538,1887,2040,
security-CVE-VarelaVaca2020-2015-7194,331,557,2.1737e-06,331,575,0.2467,1.1463,1308,1324,
security-CVE-VarelaVaca2020-2012-1944,162,87,2.3339e-06,162,111,0.0472,0.0622,637,692,
systems_software-BusyBox-Pett2021-2008-04-06_07-17-02,536,564,1.8273e-06,536,1100,0.0551,0.0823,12916,1.66e124,
security-CVE-VarelaVaca2020-2019-14788,113,1,1.6559e-06,113,15,2.132,2.2746,211,400,
security-CVE-VarelaVaca2020-2013-1688,238,398,2.0117e-06,238,414,23.5656,23.9315,712,928,
systems_software-uClibc-Pett2023-2013-04-04_00-25-06,253,1475,1.7975e-06,253,1728,0.0884,0.1579,11247,1.72e29,
security-CVE-VarelaVaca2020-2020-4048,380,358,1.8720e-06,380,372,152.9437,153.4677,1019,1896,
security-CVE-VarelaVaca2020-2016-1950,628,1053,1.8720e-06,628,1105,0.537,1.5934,4431,7496,
security-CVE-VarelaVaca2020-2013-1726,502,608,2.1886e-06,502,636,0.2675,0.7287,2565,2552,
security-CVE-VarelaVaca2020-2011-2378,221,162,1.8738e-06,221,182,0.079,0.1583,870,928,
security-CVE-VarelaVaca2020-2014-1555,425,577,1.9409e-06,425,599,0.2522,0.8866,1870,1976,
systems_software-soletta-Pett2023-2015-07-07_18-42-03,114,216,2.0266e-06,114,330,0.0217,0.0321,319,8.51e19,
security-CVE-VarelaVaca2020-2019-15326,196,1,1.8254e-06,196,15,15.3,15.4987,377,732,
security-CVE-VarelaVaca2020-2015-0832,304,497,2.7474e-06,304,522,0.2111,0.8071,1235,1184,
security-CVE-VarelaVaca2020-2013-5618,582,664,2.1365e-06,582,732,0.4033,0.9182,2491,2740,
systems_software-eb42-Knüppel2017,1247,884,1.6112e-06,1247,2114,0.7017,Timeout,,,
security-CVE-VarelaVaca2020-2015-0800,297,722,2.2482e-06,297,742,55.397,54.5306,1099,5304,
automotive-automotive2-Knüppel2017-2_3,18434,1300,1.8496e-06,18434,6222,Timeout,,,,
security-CVE-VarelaVaca2020-2020-11028,547,517,1.6801e-06,547,535,0.8695,5.7143,2447,3048,
security-CVE-VarelaVaca2020-2012-0441,210,88,2.3879e-06,210,114,0.0578,0.0745,881,876,
security-CVE-VarelaVaca2020-2020-29395,164,1,1.5758e-06,164,16,7.6694,7.4377,314,600,
systems_software-BusyBox-Pett2021-2010-03-19_14-48-51,625,687,2.2091e-06,625,1312,0.0653,1.1388,4308,2.49e140,
security-CVE-VarelaVaca2020-2015-4479,336,550,2.1756e-06,336,577,0.2449,0.9491,1453,1304,
systems_software-skmb91302-Knüppel2017,1230,840,2.0545e-06,1230,2053,0.6496,Timeout,,,
security-CVE-VarelaVaca2020-2012-4421,114,92,1.7770e-06,114,106,1.5711,1.68,410,820,
security-CVE-VarelaVaca2020-2014-1533,273,439,1.8310e-06,273,457,0.1686,0.6211,1109,1092,
systems_software-BusyBox-Pett2021-2007-10-18_12-54-39,474,510,1.6764e-06,474,984,0.0488,0.3815,175500,6.36e108,
systems_software-soletta-Pett2023-2015-10-30_18-14-23,295,944,1.7527e-06,295,1239,0.0541,0.0443,7102,5.09e34,
security-CVE-VarelaVaca2020-2011-0058,205,325,2.1774e-06,205,351,0.0851,0.146,723,720,
security-CVE-VarelaVaca2020-2012-5842,514,550,2.0396e-06,514,614,0.2797,0.4236,3991,2296,
security-CVE-VarelaVaca2020-2014-1525,394,534,1.7248e-06,394,566,0.2712,0.6126,2087,1876,
security-CVE-VarelaVaca2020-2014-8635,403,583,1.9316e-06,403,603,0.2497,0.8511,1487,1968,
systems_software-uClibc-Pett2023-2013-06-14_10-43-41,240,1332,1.7397e-06,240,1572,0.0867,0.1384,12211,1.36e29,
security-CVE-VarelaVaca2020-2019-9646,170,1,2.0713e-06,170,15,8.4475,8.6617,325,628,
systems_software-BusyBox-Pett2021-2008-02-19_11-36-22,546,578,1.6782e-06,546,1124,0.0549,0.1534,50562,6.10e126,
security-CVE-VarelaVaca2020-2017-5393,362,917,1.7602e-06,362,935,114.2844,115.634,1472,5836,
navigation-subseacontrolsystem-Mendonca2009,145,13,1.2703e-06,145,87,0.0205,0.0316,333,3.20e10,
systems_software-eb40-Berger2013,1241,3816,1.6205e-06,1241,5057,0.9283,Timeout,,,
security-CVE-VarelaVaca2020-2015-2725,513,683,2.1365e-06,513,718,0.3955,1.1709,2737,2304,
systems_software-mb93091-Knüppel2017,1263,876,1.8440e-06,1263,2122,0.8773,Timeout,,,
systems_software-BusyBox-Pett2021-2009-07-04_16-50-43,588,641,1.6075e-06,588,1229,0.0599,2.0616,3455,7.81e132,
systems_software-e7t-Knüppel2017,1280,883,2.2575e-06,1280,2145,0.6273,Timeout,,,
systems_software-soletta-Pett2023-2016-05-09_16-14-40,410,1616,2.3823e-06,410,2026,0.109,4.1566,167014,1.68e43,
security-CVE-VarelaVaca2020-2016-10977,141,1,1.8440e-06,141,15,4.5153,4.6651,267,512,
systems_software-BusyBox-Pett2021-2007-11-23_23-39-01,481,511,1.9390e-06,481,992,0.0533,0.1165,49322,3.55e110,
security-CVE-VarelaVaca2020-2015-5733,303,281,1.7229e-06,303,295,67.9582,68.267,959,1760,
security-CVE-VarelaVaca2020-2017-11658,123,1,1.3765e-06,123,15,2.9192,2.9376,231,440,
security-CVE-VarelaVaca2020-2009-1310,104,83,1.6689e-06,104,97,1.208,1.159,249,372,
systems_software-vrc4373-Berger2013,1248,3104,1.9688e-06,1248,4352,0.5213,Timeout,,,
systems_software-uClibc-Pett2023-2016-11-29_08-38-20,235,1231,2.8908e-06,235,1466,0.0778,0.1259,18373,2.83e27,
security-CVE-VarelaVaca2020-2011-3648,276,235,2.2091e-06,276,253,0.1132,0.2346,1124,1108,
security-CVE-VarelaVaca2020-2016-10112,154,132,1.8328e-06,154,148,4.8288,4.9227,380,676,
systems_software-BusyBox-Pett2021-2008-05-18_23-05-34,538,560,1.9912e-06,538,1098,0.0525,0.1214,26961,4.83e124,
security-CVE-VarelaVaca2020-2008-2785,161,128,1.6280e-06,161,150,0.0506,0.0685,625,584,
security-CVE-VarelaVaca2020-2011-3660,126,76,1.7919e-06,126,96,0.0402,0.0539,389,492,
security-CVE-VarelaVaca2020-2008-5013,117,95,1.6261e-06,117,113,0.0409,0.0589,363,408,
systems_software-sh4_202_md-Berger2013,1259,3196,2.1886e-06,1259,4455,0.4858,Timeout,,,
systems_software-soletta-Pett2023-2016-02-03_11-33-53,343,1124,1.8347e-06,343,1467,0.0613,0.0813,8079,2.25e39,
security-CVE-VarelaVaca2020-2016-2830,356,882,2.4345e-06,356,902,0.3421,1.3187,1924,5804,
systems_software-soletta-Pett2023-2016-03-12_12-42-43,362,1206,1.8459e-06,362,1568,0.0624,0.0842,18869,9.97e39,
systems_software-cme555-Knüppel2017,1279,863,1.9167e-06,1279,2124,0.8101,Timeout,,,
security-CVE-VarelaVaca2020-2014-1500,405,531,2.8629e-06,405,576,0.3003,0.5881,2028,1856,
security-CVE-VarelaVaca2020-2019-14950,154,1,1.7397e-06,154,15,5.9136,6.1217,293,564,
security-CVE-VarelaVaca2020-2008-1380,164,129,1.8533e-06,164,151,0.0502,0.0653,711,600,
security-CVE-VarelaVaca2020-2011-3003,246,201,2.5108e-06,246,219,0.1,0.2105,873,968,
systems_software-BusyBox-Pett2021-2007-10-14_04-48-44,473,509,1.9297e-06,473,982,0.0511,0.6006,1802,3.18e108,
security-CVE-VarelaVaca2020-2009-3978,112,96,1.7341e-06,112,110,1.8368,1.9398,264,400,
systems_software-aim711-Berger2013,1265,3873,2.4792e-06,1265,5138,0.8537,Timeout,,,
security-CVE-VarelaVaca2020-2015-3429,312,281,1.9968e-06,312,305,0.3641,0.92,1119,3508,
security-CVE-VarelaVaca2020-2014-1556,425,577,1.9465e-06,425,599,0.2494,0.8785,1759,1976,
security-CVE-VarelaVaca2020-2010-0167,155,99,1.6801e-06,155,120,0.0479,0.0619,516,588,
security-CVE-VarelaVaca2020-2015-5732,303,281,1.7490e-06,303,295,67.9166,69.236,969,1760,
security-CVE-VarelaVaca2020-2013-1683,238,398,1.9558e-06,238,414,23.8169,24.071,813,928,
security-CVE-VarelaVaca2020-2016-1935,353,825,2.1569e-06,353,854,0.3255,1.2282,2089,5756,
security-CVE-VarelaVaca2020-2011-0076,212,339,2.2203e-06,212,365,0.0893,0.1618,844,748,
security-CVE-VarelaVaca2020-2013-0767,536,581,1.9893e-06,536,644,0.3042,0.5216,4311,2424,
systems_software-Fiasco-Pett2023-2020-10-13_11-46-16,250,1525,1.9856e-06,250,1775,0.1021,0.5838,26228,2.27e8,
security-CVE-VarelaVaca2020-2019-15116,246,1,1.4845e-06,246,15,36.8877,37.2166,477,932,
security-CVE-VarelaVaca2020-2013-4248,242,198,2.0172e-06,242,219,0.1845,0.3337,1126,1876,
systems_software-soletta-Pett2023-2015-08-19_17-43-58,225,700,1.5963e-06,225,925,0.041,0.0492,1550,3.40e24,
security-CVE-VarelaVaca2020-2017-18596,148,216,1.7397e-06,148,234,4.4548,4.5665,471,672,
systems_software-BusyBox-Pett2021-2009-11-22_03-43-55,606,661,2.3227e-06,606,1267,0.0629,0.211,152326,2.22e136,
security-CVE-VarelaVaca2020-2011-3650,276,235,1.8142e-06,276,253,0.1161,0.2433,903,1108,
systems_software-BusyBox-Pett2021-2007-08-14_16-45-29,463,489,2.3767e-06,463,952,0.0495,0.1225,88245,6.41e106,
systems_software-soletta-Pett2023-2015-09-14_19-08-31,264,814,1.8347e-06,264,1078,0.0472,0.0358,4720,4.61e31,
security-CVE-VarelaVaca2020-2015-0831,478,649,2.5947e-06,478,680,0.3395,1.0743,3119,2160,
systems_software-BusyBox-Pett2021-2010-03-31_15-58-58,628,691,1.9316e-06,628,1319,0.0641,0.1846,101771,6.10e140,
security-CVE-VarelaVaca2020-2015-4487,341,552,2.0992e-06,341,582,0.2894,0.9874,1486,1312,
security-CVE-VarelaVaca2020-2015-0813,512,1047,1.9092e-06,512,1073,0.4807,1.2812,2607,6444,
security-CVE-VarelaVaca2020-2017-17093,480,452,1.8682e-06,480,470,0.5923,3.858,1892,2672,
security-CVE-VarelaVaca2020-2008-7293,132,107,1.4901e-06,132,121,2.5831,2.7095,307,480,
security-CVE-VarelaVaca2020-2010-4699,184,150,2.3544e-06,184,164,7.3985,7.4325,739,1424,
security-CVE-VarelaVaca2020-2019-14794,138,1,1.8626e-06,138,15,4.4639,4.4613,261,500,
security-CVE-VarelaVaca2020-2012-1971,429,523,2.0321e-06,429,547,0.2295,0.4255,2162,2040,
systems_software-soletta-Pett2023-2015-09-25_09-22-21,277,861,2.2333e-06,277,1138,0.0533,0.0694,13145,5.53e32,
security-CVE-VarelaVaca2020-2015-7203,339,809,2.3693e-06,339,836,0.3163,1.0413,2199,5708,
security-CVE-VarelaVaca2020-2018-20966,146,1,1.8720e-06,146,15,4.9746,5.168,277,532,
security-CVE-VarelaVaca2020-2013-1702,311,452,2.4289e-06,311,472,0.1795,0.4627,1119,1524,
security-CVE-VarelaVaca2020-2019-11710,452,1181,2.2147e-06,452,1199,249.8917,252.0386,2124,8908,
systems_software-uClibc-Pett2023-2011-12-22_13-59-24,245,1317,1.8608e-06,245,1562,0.0676,0.1094,7512,4.26e28,
security-CVE-VarelaVaca2020-2018-12405,836,1476,2.1271e-06,836,1524,1.0846,4.5301,6280,10796,
security-CVE-VarelaVaca2020-2013-5593,456,578,2.2445e-06,456,606,0.4037,0.6658,2558,2256,
security-CVE-VarelaVaca2020-2014-9035,141,114,2.1402e-06,141,132,0.0629,0.1216,663,980,
security-CVE-VarelaVaca2020-2015-2720,296,506,1.8477e-06,296,522,57.8956,57.1914,896,1192,
systems_software-soletta-Pett2023-2015-10-28_13-57-25,294,932,1.7043e-06,294,1226,0.0557,0.0641,4603,8.15e34,
systems_software-edosk2674-Knüppel2017,1207,841,2.1812e-06,1207,2031,0.584,Timeout,,,
security-CVE-VarelaVaca2020-2014-8634,573,733,1.9409e-06,573,759,0.4002,1.1624,2977,2928,
systems_software-ea2468-Knüppel2017,1408,956,1.8906e-06,1408,2346,0.8304,Timeout,,,
systems_software-BusyBox-Pett2021-2007-09-21_22-35-18,472,505,2.2482e-06,472,977,0.0556,0.1005,56218,3.56e108,
security-CVE-VarelaVaca2020-2020-11025,134,108,1.6354e-06,134,126,0.0583,0.1058,466,644,
systems_software-uClibc-Pett2023-2016-03-26_23-33-28,236,1195,1.7211e-06,236,1431,0.0756,0.1244,13579,1.00e28,
systems_software-uClibc-Pett2023-2016-12-20_20-51-59,235,1231,2.5295e-06,235,1466,0.0841,0.1269,4421,2.83e27,
systems_software-uClibc-Pett2023-2010-09-17_16-13-17,253,1753,1.8980e-06,253,2006,0.0924,0.1556,8942,4.31e27,
security-CVE-VarelaVaca2020-2008-4067,184,259,1.6112e-06,184,294,0.0591,0.0752,964,640,
security-CVE-VarelaVaca2020-2016-5276,360,894,2.0321e-06,360,914,0.3123,1.3296,1888,5820,
security-CVE-VarelaVaca2020-2016-6635,362,340,1.7807e-06,362,354,128.9326,129.8765,1124,2048,
security-CVE-VarelaVaca2020-2011-3671,126,76,2.0806e-06,126,96,0.0419,0.0557,480,492,
security-CVE-VarelaVaca2020-2014-1593,600,716,1.9949e-06,600,742,0.4549,1.1717,2966,3036,
security-CVE-VarelaVaca2020-2018-7747,101,1,1.8962e-06,101,16,1.4012,1.4115,188,348,
systems_software-BusyBox-Pett2021-2007-06-21_12-41-59,454,480,1.9800e-06,454,934,0.0487,0.1025,50447,6.30e104,
security-CVE-VarelaVaca2020-2013-1736,502,608,1.9539e-06,502,636,0.2961,0.7027,2713,2552,
systems_software-brutus-Berger2013,1222,3754,2.5108e-06,1222,4976,0.6923,Timeout,,,
security-CVE-VarelaVaca2020-2020-11030,546,517,1.6633e-06,546,535,0.9335,5.7184,2211,3044,
systems_software-cerfpda-Knüppel2017,1304,946,1.9725e-06,1304,2233,0.6942,Timeout,,,
security-CVE-VarelaVaca2020-2015-7208,339,809,1.9502e-06,339,836,0.3133,1.062,2235,5708,
security-CVE-VarelaVaca2020-2013-0779,504,579,2.1942e-06,504,616,0.2733,0.5169,3100,2440,
systems_software-Linux-Knüppel2017-2.6.33.3,6467,3545,2.4345e-06,6467,9868,Timeout,,,,
security-CVE-VarelaVaca2020-2013-5603,456,578,2.1346e-06,456,606,0.2938,0.6811,2155,2256,
systems_software-uClibc-Pett2023-2016-12-29_13-38-09,236,1232,2.1327e-06,236,1468,0.0845,0.1428,14719,3.38e27,
systems_software-adder-Knüppel2017,1285,890,2.3022e-06,1285,2158,0.7812,Timeout,,,
systems_software-BusyBox-Pett2021-2010-03-18_18-35-37,624,685,3.0957e-06,624,1309,0.064,1.2405,4018,1.25e140,
systems_software-uClibc-Pett2023-2015-10-09_05-34-32,241,992,2.1551e-06,241,1233,0.0777,0.0844,931,1.40e20,
security-CVE-VarelaVaca2020-2012-0449,392,309,1.8459e-06,392,353,0.1808,0.275,1968,1604,
systems_software-uClibc-Pett2023-2017-04-17_17-51-12,233,1253,2.3618e-06,233,1486,0.0793,0.1357,20217,2.86e26,
systems_software-BusyBox-Pett2021-2008-03-29_17-26-10,537,572,1.8608e-06,537,1109,0.0533,0.2236,110082,7.48e123,
security-CVE-VarelaVaca2020-2013-0798,235,569,1.8198e-06,235,589,20.975,22.6718,913,2284,
security-CVE-VarelaVaca2020-2019-13478,209,184,1.8980e-06,209,200,16.9072,14.963,673,996,
systems_software-BusyBox-Pett2021-2007-05-20_17-12-43,439,463,2.3823e-06,439,902,0.0494,0.0778,26370,2.91e101,
systems_software-soletta-Pett2023-2015-11-23_15-29-58,311,1004,1.8384e-06,311,1315,0.0561,0.1029,52925,3.63e36,
security-CVE-VarelaVaca2020-2015-2435,129,62,1.9930e-06,129,130,0.0409,0.0455,1426,3192,
security-CVE-VarelaVaca2020-2015-0807,471,651,2.0303e-06,471,673,0.3325,1.1314,2056,2172,
systems_software-BusyBox-Pett2021-2009-07-05_12-49-29,588,641,1.8403e-06,588,1229,0.0574,0.157,86225,7.81e132,
systems_software-psim-Knüppel2017,1194,826,1.8124e-06,1194,2003,0.5501,Timeout,,,
systems_software-BusyBox-Pett2021-2009-05-14_00-23-34,582,628,5.3030e-06,582,1210,0.0615,1.1908,2955,4.82e131,
security-CVE-VarelaVaca2020-2019-15868,111,1,2.1365e-06,111,15,1.9279,2.0151,207,392,
security-CVE-VarelaVaca2020-2011-0070,221,171,1.5888e-06,221,193,0.0705,0.0976,769,868,
security-CVE-VarelaVaca2020-2013-2199,118,96,1.5963e-06,118,110,1.9171,1.8253,435,864,
security-CVE-VarelaVaca2020-2016-1930,353,825,2.3544e-06,353,854,0.3344,1.19,2516,5756,
security-CVE-VarelaVaca2020-2011-3647,253,222,1.8775e-06,253,240,0.1013,0.2054,816,1008,
security-CVE-VarelaVaca2020-2014-1595,463,957,2.7996e-06,463,993,0.4615,1.0785,2978,10552,
systems_software-adderII-Berger2013,1277,3206,1.8012e-06,1277,4483,0.5519,Timeout,,,
security-CVE-VarelaVaca2020-2019-11735,594,1328,3.4608e-06,594,1350,0.681,4.0313,3595,9492,
systems_software-grg-Berger2013,1242,3792,2.6394e-06,1242,5034,0.9251,Timeout,,,
security-CVE-VarelaVaca2020-2011-4486,111,7,1.6429e-06,111,26,0.0384,0.0622,364,372,
security-CVE-VarelaVaca2020-2019-9800,820,1508,2.1700e-06,820,1534,0.9128,4.4867,5322,10824,
systems_software-BusyBox-Pett2021-2008-11-22_18-41-41,570,596,1.7751e-06,570,1166,0.0577,7.4528,2750,4.64e129,
security-CVE-VarelaVaca2020-2018-12389,404,335,1.7062e-06,404,375,0.2651,0.6799,2209,1932,
security-CVE-VarelaVaca2020-2014-3616,313,2,1.5367e-06,313,18,0.2366,1.0311,614,1192,
security-CVE-VarelaVaca2020-2009-3076,117,95,1.5739e-06,117,110,1.7647,1.8222,284,420,
systems_software-psim-Berger2013,1182,2995,2.0880e-06,1182,4177,0.5719,Timeout,,,
security-CVE-VarelaVaca2020-2009-3983,171,138,1.6131e-06,171,156,0.0591,0.1043,559,632,
systems_software-BusyBox-Pett2021-2009-01-31_21-45-57,575,613,1.8831e-06,575,1188,0.0556,0.7401,2257,4.13e130,
systems_software-uCLinux_Config-Berger2013,11255,31637,1.9278e-06,11255,42892,Timeout,,,,
security-CVE-VarelaVaca2020-2010-0169,154,99,1.6931e-06,154,119,0.0478,0.0633,494,588,
systems_software-uClibc-Pett2023-2009-11-09_15-35-16,245,1736,2.0675e-06,245,1981,0.1016,0.1831,9840,7.10e25,
security-CVE-VarelaVaca2020-2016-10706,109,1,1.4063e-06,109,15,1.8542,1.9358,203,384,
security-CVE-VarelaVaca2020-2018-12390,829,1462,2.1476e-06,829,1510,1.1122,4.3777,6072,10768,
security-CVE-VarelaVaca2020-2016-4825,115,1,1.3839e-06,115,15,2.218,2.3804,215,408,
security-CVE-VarelaVaca2020-2014-1490,670,664,1.8142e-06,670,729,0.4891,0.8986,5147,3116,
security-CVE-VarelaVaca2020-2011-0075,206,137,1.6410e-06,206,157,0.0634,0.0973,626,816,
security-CVE-VarelaVaca2020-2015-0834,304,497,1.4119e-06,304,522,0.2102,0.7689,1239,1184,
systems_software-soletta-Pett2023-2015-09-16_12-28-33,265,819,1.3821e-06,265,1084,0.0445,0.0658,14114,4.61e31,
security-CVE-VarelaVaca2020-2013-1697,384,514,1.5851e-06,384,538,0.2232,0.552,2132,1760,
systems_software-olpce2294-Berger2013,1275,3881,2.0433e-06,1275,5156,0.8712,Timeout,,,
security-CVE-VarelaVaca2020-2017-14719,213,1,2.6617e-06,213,13,22.5312,23.1205,412,808,
security-CVE-VarelaVaca2020-2017-7766,487,1502,2.3376e-06,487,1528,0.5939,2.2128,2948,10960,
security-CVE-VarelaVaca2020-2017-18032,178,1,1.5758e-06,178,15,10.7497,10.751,341,660,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-48,218,1076,1.5050e-06,218,1294,0.0725,0.3043,6925,7.09e7,
systems_software-aim711-Knüppel2017,1277,912,1.8086e-06,1277,2171,0.6662,Timeout,,,
security-CVE-VarelaVaca2020-2017-17091,473,451,2.1234e-06,473,465,322.3867,322.3293,1434,2660,
systems_software-mpc50-Knüppel2017,1226,863,1.7099e-06,1226,2072,0.5925,Timeout,,,
security-CVE-VarelaVaca2020-2019-15873,107,1,1.1418e-06,107,15,1.7259,1.7535,199,376,
security-CVE-VarelaVaca2020-2015-7187,321,556,1.5050e-06,321,572,78.6317,76.6692,1118,1292,
systems_software-calm32_ceb-Berger2013,1174,2990,1.9949e-06,1174,4164,0.4293,Timeout,,,
security-CVE-VarelaVaca2020-2013-5615,557,657,3.4794e-06,557,710,0.4119,0.8082,4148,2700,
security-CVE-VarelaVaca2020-2014-1512,590,672,1.7043e-06,590,740,0.5165,0.8724,3980,2792,
systems_software-BusyBox-Pett2021-2008-03-19_23-15-26,535,569,1.8273e-06,535,1104,0.053,0.0908,49286,2.10e123,
systems_software-BusyBox-Pett2021-2010-01-06_08-54-49,610,669,1.2387e-06,610,1279,0.0649,1.0894,3993,1.18e137,
security-CVE-VarelaVaca2020-2019-16223,522,497,1.4603e-06,522,512,439.8368,479.0288,1625,2960,
systems_software-uClibc-Pett2023-2010-09-14_14-36-00,250,1746,2.6915e-06,250,1996,0.0918,0.1496,21584,1.41e27,
security-CVE-VarelaVaca2020-2008-1241,105,82,1.2759e-06,105,100,0.0381,0.0342,308,360,
security-CVE-VarelaVaca2020-2014-5266,289,243,1.8664e-06,289,266,0.1632,0.3394,2122,1624,
systems_software-eb42-Berger2013,1235,3779,1.8086e-06,1235,5014,0.8259,Timeout,,,
security-CVE-VarelaVaca2020-2013-1678,378,508,2.3730e-06,378,532,0.2537,0.5456,2090,1732,
security-CVE-VarelaVaca2020-2015-2740,528,689,2.2966e-06,528,732,0.4487,1.23,3218,2328,
systems_software-BusyBox-Pett2021-2008-01-05_03-26-41,490,524,2.3805e-06,490,1014,0.0553,0.0838,18776,5.31e111,
security-CVE-VarelaVaca2020-2013-0771,516,576,1.7714e-06,516,628,0.2783,0.5242,3274,2388,
systems_software-cma28x-Berger2013,1205,3051,2.3469e-06,1205,4256,0.5742,Timeout,,,
systems_software-uClibc-Pett2023-2008-07-08_02-41-21,230,1703,5.9921e-06,230,1933,0.0868,0.1658,9550,7.03e23,
systems_software-refidt334-Knüppel2017,1276,870,2.0396e-06,1276,2129,0.6248,Timeout,,,
systems_software-soletta-Pett2023-2015-11-25_17-57-13,313,1011,1.9856e-06,313,1324,0.0558,0.0626,14435,7.26e36,
security-CVE-VarelaVaca2020-2015-0820,304,497,2.1122e-06,304,522,0.2064,0.7272,1313,1184,
security-CVE-VarelaVaca2020-2016-6897,392,369,1.8943e-06,392,384,169.4726,167.9431,1190,2200,
systems_software-BusyBox-Pett2021-2010-05-02_18-45-02,631,681,1.8273e-06,631,1312,0.0629,0.1116,27880,3.60e141,
systems_software-pc_rltk8139-Knüppel2017,1270,886,1.8217e-06,1270,2138,0.7443,Timeout,,,
